"date","maxtempF","mintempF","FeelsLikeF"
"2016-11-01","66","59","57"
"2016-11-02","60","47","49"
"2016-11-03","59","44","49"
"2016-11-04","58","37","45"
"2016-11-05","68","41","50"
"2016-11-06","65","41","51"
"2016-11-07","61","44","49"
"2016-11-08","53","46","42"
"2016-11-09","55","34","41"
"2016-11-10","58","37","40"
"2016-11-11","46","40","38"
"2016-11-12","48","31","31"
"2016-11-13","52","32","33"
"2016-11-14","57","40","43"
"2016-11-15","52","37","41"
"2016-11-16","56","38","42"
"2016-11-17","63","50","49"
"2016-11-18","65","52","55"
"2016-11-19","35","31","20"
"2016-11-20","31","25","18"
"2016-11-21","30","23","18"
"2016-11-22","38","25","26"
"2016-11-23","41","35","31"
"2016-11-24","39","36","32"
"2016-11-25","41","35","29"
"2016-11-26","43","30","28"
"2016-11-27","42","31","31"
"2016-11-28","46","44","36"
"2016-11-29","46","41","36"
"2016-11-30","41","33","32"
"2016-12-01","41","37","30"
"2016-12-02","36","31","26"
"2016-12-03","34","29","24"
"2016-12-04","33","30","26"
"2016-12-05","35","32","24"
"2016-12-06","37","35","24"
"2016-12-07","26","21","8"
"2016-12-08","27","20","10"
"2016-12-09","22","18","8"
"2016-12-10","17","14","5"
"2016-12-11","33","22","18"
"2016-12-12","22","16","6"
"2016-12-13","9","5","-10"
"2016-12-14","10","4","-15"
"2016-12-15","4","-3","-19"
"2016-12-16","19","10","3"
"2016-12-17","25","17","7"
"2016-12-18","0","-7","-19"
"2016-12-19","13","-13","-20"
"2016-12-20","30","16","5"
"2016-12-21","33","15","13"
"2016-12-22","32","26","17"
"2016-12-23","33","25","18"
"2016-12-24","34","27","24"
"2016-12-25","33","31","23"
"2016-12-26","37","31","19"
"2016-12-27","23","20","7"
"2016-12-28","33","20","16"
"2016-12-29","31","26","15"
"2016-12-30","27","21","13"
"2016-12-31","30","22","14"
"2017-01-01","29","20","14"
"2017-01-02","35","22","21"
"2017-01-03","34","34","26"
"2017-01-04","7","3","-15"
"2017-01-05","4","1","-18"
"2017-01-06","5","0","-16"
"2017-01-07","8","0","-14"
"2017-01-08","10","-1","-9"
"2017-01-09","20","13","6"
"2017-01-10","34","29","21"
"2017-01-11","21","13","3"
"2017-01-12","17","9","-3"
"2017-01-13","9","-5","-6"
"2017-01-14","21","8","3"
"2017-01-15","22","3","2"
"2017-01-16","34","14","16"
"2017-01-17","34","32","25"
"2017-01-18","34","29","22"
"2017-01-19","34","32","26"
"2017-01-20","35","33","28"
"2017-01-21","37","35","29"
"2017-01-22","38","35","31"
"2017-01-23","38","33","29"
"2017-01-24","40","34","32"
"2017-01-25","35","33","27"
"2017-01-26","35","30","21"
"2017-01-27","29","27","15"
"2017-01-28","31","23","16"
"2017-01-29","26","19","11"
"2017-01-30","24","13","9"
"2017-01-31","32","26","20"
"2017-02-01","26","20","8"
"2017-02-02","16","6","-8"
"2017-02-03","17","0","-8"
"2017-02-04","27","3","3"
"2017-02-05","27","21","13"
"2017-02-06","34","15","17"
"2017-02-07","33","30","21"
"2017-02-08","19","18","6"
"2017-02-09","13","7","-7"
"2017-02-10","29","18","11"
"2017-02-11","34","29","23"
"2017-02-12","35","30","21"
"2017-02-13","36","23","19"
"2017-02-14","36","28","20"
"2017-02-15","28","24","14"
"2017-02-16","30","19","17"
"2017-02-17","38","26","24"
"2017-02-18","42","32","28"
"2017-02-19","48","31","33"
"2017-02-20","50","36","35"
"2017-02-21","56","43","44"
"2017-02-22","63","38","47"
"2017-02-23","44","37","31"
"2017-02-24","35","28","17"
"2017-02-25","25","22","8"
"2017-02-26","33","22","15"
"2017-02-27","37","25","23"
"2017-02-28","39","34","29"
"2017-03-01","30","25","17"
